Scenario,Appliance Cost (Annual),Energy Cost (Annual),Total Cost,Benefit,Benefit - Cost
MERV 13 HVAC filter only,100,85,185,16000,15815
1 Portable HEPA purifier,100,40,140,0,-140
2 Portable HEPA purifiers,200,80,280,1000,720
4 Portable HEPA purifiers,400,160,560,8000,7440
6 Portable HEPA purifiers,600,240,840,11000,10160
HRV/ERV (0.35 ACH unit),150,100,250,-25000,-25250
1 HEPA + MERV 13,200,125,325,16000,15675
2 HEPA + MERV 13,300,165,465,16500,16035
4 HEPA + MERV 13,500,245,745,17000,16255
6 HEPA + MERV 13,700,325,1025,17400,16375
HRV/ERV + MERV 13,250,185,435,15000,14565
1 HEPA + MERV 13 + HRV,350,225,575,15000,14425
2 HEPA + MERV 13 + HRV,450,265,715,15500,14785
4 HEPA + MERV 13 + HRV,650,345,995,16000,15005
6 HEPA + MERV 13 + HRV,850,425,1275,16500,15225
