Scenario,C_i [particles/m^3]
MERV 13 HVAC filter only,420470262.79391426
1 Portable HEPA purifier,2356589147.286822
2 Portable HEPA purifiers,1747126436.7816093
4 Portable HEPA purifiers,1113553113.5531135
6 Portable HEPA purifiers,817204301.0752689
HRV/ERV (0.35 ACH unit),4041407867.494824
1 HEPA + MERV 13,389444017.42249554
2 HEPA + MERV 13,366618427.39990354
4 HEPA + MERV 13,324994654.69317937
6 HEPA + MERV 13,292870905.5876686
HRV/ERV + MERV 13,524308353.47837764
1 HEPA + MERV 13 + HRV,486661680.37895787
2 HEPA + MERV 13 + HRV,458862247.3
4 HEPA + MERV 13 + HRV,407941483.80355275
6 HEPA + MERV 13 + HRV,368440921.10230273
BaseCaseHome,1842424242.4242425
